day_of_week,Xinbeitou,Banqiao(Circular Line),Jiannan Rd. ,Taipei Nangang Exhibition Center,Nangang ,Jiantan ,Zhongshan ,Xiaobitan,Banqiao(Bannan Line),Dahu Park ,Taipei 101/World Trade Center,Daan Park,Ximen ,Zhongxiao Fuxing,Tamsui,Sanchong ,Yuanshan,Taipei Zoo,Xindian ,Taipei Main Station
Friday,4120.8,7424.2,9691.6,24359.4,19044.6,25180.2,39897.2,3773.4,39018.2,3180.8,22483.0,7171.0,52321.6,41755.4,28933.8,5944.4,25279.6,4674.4,10436.4,132422.0
Monday,3488.0,5759.75,8568.25,25496.25,15855.0,24054.25,31082.25,3131.5,34404.75,2900.5,20862.0,6524.5,42872.75,33826.25,28467.25,5697.0,22994.0,3890.5,9790.5,96747.0
Saturday,3865.6,6121.8,7754.0,13490.0,12655.6,20484.8,37521.6,4127.8,29661.8,2864.6,16594.4,7924.2,51365.6,37906.4,24934.6,4742.2,20303.4,4591.4,9325.8,104903.2
Sunday,3289.6,5565.4,6880.6,11300.4,10962.8,19204.6,29541.2,3809.0,25436.2,2977.6,13777.4,7851.4,42046.0,29568.0,28495.6,4297.4,18279.6,4920.4,9105.6,94360.6
Thursday,3792.0,6059.75,9110.5,26179.75,16865.75,24586.0,34916.5,3318.75,36121.75,2905.5,22030.25,6871.25,45444.0,37135.5,27618.5,5827.75,24219.5,3986.0,10011.5,103710.0
Tuesday,3576.25,5861.75,8958.0,25822.75,16187.75,24356.0,32981.25,3186.0,33885.5,2861.25,21224.0,6688.5,44335.5,35584.0,27139.75,5663.5,23569.75,3904.0,9913.5,96122.0
Wednesday,3804.0,6018.5,9212.75,26264.25,16724.5,24993.5,34785.75,3271.0,35659.75,2993.5,21869.0,7042.25,46498.0,37187.0,27878.25,5910.75,24298.5,4085.5,10189.25,100375.25
