day_of_week,Banqiao(Circular Line),Xindian ,Sanchong ,Banqiao(Bannan Line),Xiaobitan,Zhongxiao Fuxing,Ximen ,Xinbeitou,Dahu Park ,Taipei Zoo,Zhongshan ,Jiantan ,Nangang ,Tamsui,Taipei Main Station,Jiannan Rd. ,Taipei 101/World Trade Center,Yuanshan,Taipei Nangang Exhibition Center,Daan Park
Friday,5736.25,6991.25,4222.0,24358.0,2003.5,25824.25,33452.0,2463.25,1940.75,2192.5,27592.75,13299.75,12266.5,17801.0,77481.0,6760.5,15857.0,15672.75,17305.5,4674.0
Monday,4589.4,6249.4,3799.0,21082.6,1933.8,21105.8,27530.4,2277.4,1704.8,2080.4,21600.2,11431.8,9948.6,16750.6,58629.6,5656.8,13379.6,13423.4,14862.0,4079.6
Saturday,3762.5,5532.75,3019.25,16196.5,1833.5,21177.5,29120.5,2291.5,1620.0,2263.5,24386.5,11382.5,7904.25,14388.5,55831.5,5133.5,10316.0,13705.5,8971.0,4893.5
Sunday,3277.4,5291.8,2630.6,13799.6,1681.0,16326.8,23747.2,2013.2,1453.0,2260.2,19697.6,9783.2,6546.6,14192.0,47355.0,4413.4,8792.4,10593.2,7380.0,4614.2
Thursday,4823.5,6669.0,4120.75,22388.25,1978.25,22596.75,28887.25,2365.75,1857.0,2113.25,23403.5,12258.75,11201.5,17194.25,62527.5,6187.25,14521.25,14669.0,16895.25,4433.0
Tuesday,4784.0,6753.6,4163.8,22378.6,2019.2,22132.2,29163.2,2361.6,1847.6,2173.4,23161.4,12274.4,10946.0,17495.6,60861.4,6261.4,14460.4,14620.6,17047.8,4546.0
Wednesday,4871.0,6875.75,4140.0,22616.25,1974.5,22969.25,29556.25,2325.75,1897.0,2146.25,23538.75,12349.5,11105.0,17327.5,61314.25,6400.25,14484.75,14628.75,17042.5,4608.5
