,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Zhongshan Junior High School,0.8666583040642247,0.8659056698444555,0.836552935273457,0.9509533366783743,0.23595082789764177,0.0030105368790768194,0.7778474661314602,0.8714249874560963,0.876317109884596,0.8783241344706473,0.9323883592574008,0.32200200702458603,0.038635223281485165,0.7640491721023582,0.8733065730055193,0.9030356246864023,0.9103110888108378,0.9779227295534371,0.31986954340190665,0.09884596086302055,0.8177370797792273,0.8542398394380332,0.9307576517812343,0.9435524335173106,0.9999999999999999,0.18263923733065734,0.0,0.7750878073256396,0.8582538886101355,0.90529352734571
Nanjing Fuxing,0.8172700419042385,0.8186439513636052,0.8099196262966271,0.8886102905818507,0.20443772755375422,0.0,0.7374115545785533,0.8191591674108676,0.8254104554509858,0.8284674039980766,0.9057841588239335,0.2736140688328639,0.02139863982963519,0.7384419866730783,0.836436078862403,0.841004327814797,0.8319365253829774,0.9166380435529298,0.2656453939685375,0.05347942570584596,0.76533626434018,0.8339286940990589,0.8827024799065741,0.9219619427079755,1.0,0.1860616885347255,0.03527512536923816,0.7643058322456551,0.8300130521398639,0.8639829635227039
Daan,0.84987784492735,0.8305902018773307,0.8271184261283272,0.9218207535039219,0.25710428185675716,0.0,0.7884145557412884,0.841069821267841,0.8736659380223736,0.8664652179503664,0.9683682653979683,0.4021473575929021,0.043718657580043785,0.7904076121897904,0.8590073293043591,0.9038832454674038,0.8712871287128713,0.9405940594059407,0.3492349234923492,0.06390639063906389,0.8038446701813039,0.8402983155458402,0.9141056962839141,0.9321074964639321,0.9999999999999999,0.23685225665423681,0.051948051948051965,0.8046161759033047,0.8666580943808667,0.8878745017358879
Technology Building,0.8246022506790841,0.7952399430862759,0.7931703531237874,0.8392187297891603,0.3634717371620747,0.09028586211356882,0.7178890182382615,0.8236968050704953,0.809080325960419,0.8368904410813606,0.8758246022506789,0.35881515974647515,0.1394386237226749,0.7433708446514035,0.8053291941534083,0.8875953951623333,0.8546113051351699,0.9523994308627602,0.31949295045919024,0.048764713491139644,0.7665243823567455,0.7767429827965334,0.878670288449101,0.9589962488681928,0.9999999999999999,0.14901047729918504,0.0,0.7627732505497348,0.7768723321691889,0.8565515457250031
Liuzhangli,0.8463453672416859,0.8609283300729147,0.8308731993597722,0.9526942913035745,0.3211808643073093,0.0,0.7305708696425395,0.814511826427174,0.85132491552552,0.8760448159345544,0.9679886181753512,0.307664947536902,0.03290058687533337,0.8081095500622444,0.8282055842077183,0.8696425395696248,0.8691090165392139,0.9558954294860393,0.3275831406722389,0.07664947536902011,0.7748532811666369,0.837453316734839,0.9199715454383781,0.9624755468611061,0.9999999999999998,0.19882624933309612,0.02845456162191007,0.7568913391428063,0.8331851324915525,0.8790681131068825
Xinhai,0.8480756245779881,0.7900067521944631,0.8609047940580692,0.8939905469277516,0.2599594868332209,0.0,0.823092505064146,0.8649561107359891,0.8838622552329509,0.836596893990547,1.0,0.3551654287643484,0.11073598919648897,0.836596893990547,0.8737339635381498,0.8926401080351116,0.9047940580688727,0.9554355165428765,0.39702903443619175,0.20931802835921687,0.8811613774476705,0.8872383524645513,0.9149223497636734,0.9952734638757597,0.9675894665766376,0.2970965563808239,0.1627278865631332,0.8717083051991898,0.9182984469952737,0.9513841998649561
Wanfang Hospital,0.935978982300885,0.9370851769911506,0.8929756637168142,0.9405420353982301,0.19413716814159288,0.0,0.8621404867256637,0.9445519911504425,0.9738661504424779,0.959070796460177,0.982162610619469,0.4133019911504425,0.13454092920353977,0.7883019911504425,0.9413716814159292,0.9513274336283186,0.9409568584070798,0.9715154867256637,0.2833241150442478,0.3603429203539823,0.7407356194690267,0.8913163716814159,0.9800884955752214,0.956858407079646,1.0,0.15113384955752207,0.11684181415929218,0.8795630530973451,0.9157909292035398,0.9771847345132743
Wanfang Community,0.6856435643564356,0.9467821782178216,0.782178217821782,0.7487623762376239,0.16831683168316824,0.012376237623762387,0.8094059405940595,0.7982673267326734,0.8948019801980198,1.0,0.9306930693069306,0.4740099009900991,0.06311881188118806,0.7636138613861387,0.7945544554455446,0.8650990099009901,0.8712871287128712,0.983910891089109,0.4529702970297027,0.06930693069306915,0.8143564356435644,0.9368811881188117,0.8316831683168315,0.8032178217821784,0.9455445544554455,0.1373762376237624,0.0,0.8279702970297027,0.896039603960396,0.9566831683168315
Muzha,0.8657520823125917,0.7907888290053895,0.8329250367466929,0.8304752572268497,0.6291033806957373,0.0,0.8045075943165114,0.8167564919157277,0.8373346398824106,0.8961293483586477,0.9999999999999998,0.47427731504164616,0.09652131308182255,0.837824595786379,0.876531112199902,0.8740813326800587,0.8451739343459088,0.9367956883880451,0.4644781969622733,0.07839294463498292,0.8500734933855953,0.8902498775110239,0.9147476727094561,0.8397844194022539,0.9813816756491918,0.09456148946594811,0.05340519353258211,0.8750612444879959,0.8495835374816265,0.9407153356197944
Dazhi ,0.9119336311423101,0.93873643905552,0.9223569453307805,0.9142735588172728,0.3626887896192299,0.04594767070835992,0.8457774941501808,0.9032120825356307,0.9244841523080194,0.9923420548819397,0.9572431397574981,0.3509891512444161,0.08912997234630926,0.9068283343969368,0.9346947457987662,0.9380982769623483,0.9646883641778343,1.0,0.2829185279727717,0.14231014677728138,0.9580940225483938,0.9378855562646242,0.9544777706870877,0.9744735162731333,0.9789406509253351,0.11508189746862363,0.0,0.9208679004467133,0.8947032546266751,0.9338438630078705
