day_of_week,Nangang ,Jiantan ,Zhongshan ,Xiaobitan,Zhongxiao Fuxing,Taipei Zoo,Xindian ,Xinbeitou,Dahu Park ,Taipei 101/World Trade Center,Tamsui,Sanchong ,Taipei Main Station,Daan Park,Ximen ,Jiannan Rd. ,Taipei Nangang Exhibition Center,Yuanshan
Friday,23944.0,37862.4,47829.6,2763.0,62788.8,7629.2,12130.4,6923.2,3540.2,37358.0,39716.6,6909.6,190250.4,8730.6,81877.2,12577.8,40182.8,32241.0
Monday,18415.75,33129.25,38440.0,2421.5,53224.5,6159.25,11062.5,5693.0,3126.25,29524.25,37567.25,6308.75,140051.75,7367.75,66670.75,10265.0,35745.75,27728.5
Saturday,17741.75,37130.5,48037.75,2547.5,62194.5,10350.5,11950.75,8468.5,3699.25,32428.25,40533.25,6770.75,175841.25,10565.5,89837.5,11937.75,31298.75,32797.75
Sunday,15945.75,33482.0,39804.75,2245.0,50764.75,12181.0,12056.5,7836.5,3741.0,28074.5,46137.75,5633.75,169167.75,10722.75,76114.25,11155.5,27721.5,29699.0
Thursday,18597.4,34836.8,41346.0,2615.0,54271.6,7215.4,11538.8,6261.2,3301.4,31234.2,37234.6,6451.6,143262.6,8006.2,70792.8,11343.6,32201.6,29261.4
Tuesday,17377.5,34142.0,39413.25,2453.0,48839.5,7382.0,11532.5,6268.75,3262.5,28779.25,37140.5,6393.5,134311.25,7875.0,66820.5,10527.75,28703.75,28989.75
Wednesday,17590.0,34590.5,40563.0,2392.0,50322.5,7240.75,11667.25,6073.75,3360.0,29463.5,37617.5,6450.5,137119.75,8020.25,67500.5,11217.5,29148.75,29945.5
