,Xinbeitou,Banqiao(Circular Line),Jiannan Rd. ,Taipei Nangang Exhibition Center,Nangang ,Jiantan ,Zhongshan ,Xiaobitan,Banqiao(Bannan Line),Dahu Park ,Taipei 101/World Trade Center,Daan Park,Ximen ,Zhongxiao Fuxing,Tamsui,Sanchong ,Yuanshan,Taipei Zoo,Xindian ,Taipei Main Station
1,3600,5899,9116,26056,16515,24735,32096,3212,35601,2999,22013,6778,44911,33987,29308,5834,23733,4105,9915,102251
2,3594,6016,9431,26880,17138,25715,34318,3335,36510,3046,22539,6993,46698,36144,28947,6012,24724,4649,10234,102172
3,3929,5830,9832,26802,17415,27006,36025,3559,36750,3284,23648,7477,49144,37810,30368,6042,25361,5342,10897,106786
4,3679,5980,9794,26903,17582,26717,36277,3587,37042,3088,23848,7162,48122,40283,29962,6081,25337,5201,10365,111618
5,4116,7675,10692,27497,21548,27904,42747,3774,41935,3250,25923,7883,57886,45324,30561,6247,27280,5169,10974,147852
6,4456,7176,9186,14894,14642,25587,41563,4506,34249,3173,19710,8618,63036,41953,30174,5552,23780,6372,10544,125874
7,3456,6171,7746,11785,12235,19474,31272,4241,28903,2476,15256,6326,44928,30263,23355,4229,17471,4587,8486,110662
8,3755,6274,9550,26530,17008,24477,32899,3350,36505,2965,22601,6730,46613,35878,28917,5802,23809,4007,9998,105585
9,4101,6208,9579,26989,17365,26581,34903,3297,37083,3084,23242,7211,48217,37792,29404,6110,25208,4859,10292,107223
10,3898,6322,9980,27246,17821,26507,36764,3272,38286,3279,24268,7680,50711,39757,30601,6031,26086,4890,10808,111489
11,3926,6368,9823,27417,18028,26646,37362,3439,38153,3159,24613,7524,50576,40079,30038,6137,26006,4982,10563,115233
12,4625,7799,11584,28101,20803,29296,43940,3758,42996,3355,27652,7898,62464,46782,32315,6584,27933,6011,11234,144923
13,4706,7241,9395,15527,15475,28542,44765,4490,36385,3244,22138,8650,67049,42953,35087,5805,27362,7298,11120,137803
14,3705,6290,7591,12121,12527,19738,31973,4228,30415,2815,17420,7070,47813,32064,27534,4446,21385,6085,9924,122043
15,3705,6249,9644,26495,17045,25592,33997,3419,37634,3017,23639,7261,49199,37248,29793,5931,24385,3702,10209,110372
16,3777,6330,10189,26909,17317,26330,35819,3469,37712,3275,23811,7233,49857,39472,29550,6204,25937,4280,10597,111097
17,3939,6332,10291,27154,17553,26223,37645,3466,38316,3179,24743,7577,50611,39791,29365,6027,25929,4051,10586,113394
18,3794,6490,10458,27256,17905,26591,37931,3616,38813,3162,25441,7250,51475,40521,29339,6024,25768,4208,10716,117291
19,4022,7091,10923,27422,19390,26760,43195,3708,40716,3275,26774,7627,57377,44006,29972,6322,26824,4275,10782,132403
20,4643,7358,11191,21815,18769,26616,45081,4291,40431,3458,27090,9216,65665,45425,32382,6132,26408,4205,10735,130989
21,3637,6170,7997,12601,12720,23217,33967,3921,29983,3282,18265,7828,49668,31447,28121,5067,21322,3917,9840,116364
22,3740,6337,10070,26817,17142,25386,35419,3610,37488,2944,24267,7089,51033,37963,29722,5845,24690,3731,10382,114735
23,3943,6546,10148,26905,18209,26261,37498,3781,38956,3033,24939,7467,52743,41233,29470,5992,26392,4229,10548,123935
24,3892,8580,10747,26993,22089,26542,41323,3819,44198,3152,26193,7598,58350,44602,30277,6328,27237,3480,10706,164576
25,3528,7608,6876,11000,14435,19031,29856,4038,30416,2217,19632,4316,48659,30526,27987,4114,16794,5387,8990,125443
26,4863,6623,8126,12283,14109,23673,35538,5101,31438,2939,25281,5713,57313,37396,34613,4509,19651,9410,10152,125030
27,4657,6668,9237,15597,13883,24307,36580,5200,31578,3115,24974,8208,58695,37815,37441,5191,22218,8652,11206,119231
28,3541,6071,7662,11650,12337,19956,29959,4432,28273,2942,19430,7036,46033,29811,28513,4351,19348,5100,9794,107589
29,3622,6463,9886,26124,17375,23217,35625,3576,38150,3082,24432,7166,51765,38277,28943,5885,24584,4016,10349,115658
30,4046,6378,10394,26924,17904,24338,38142,3632,38370,3028,25678,7470,53245,40530,28770,5847,25939,4599,10727,117056
