day_of_week,Nangang ,Jiantan ,Zhongshan ,Xiaobitan,Zhongxiao Fuxing,Taipei Zoo,Xindian ,Xinbeitou,Dahu Park ,Taipei 101/World Trade Center,Tamsui,Sanchong ,Taipei Main Station,Daan Park,Ximen ,Jiannan Rd. ,Taipei Nangang Exhibition Center,Yuanshan
Friday,24431.2,37608.0,50574.2,3671.6,61186.4,7738.4,12629.2,8024.0,3749.4,38831.2,38499.2,7325.6,188971.6,9278.2,85291.4,13340.4,40167.4,33463.8
Monday,20093.5,32520.75,40239.75,3346.75,53626.0,6294.5,11565.5,6001.5,3252.25,32320.0,35408.5,6774.75,142714.25,7706.25,68782.0,10907.25,37562.25,27840.75
Saturday,20023.6,39153.8,53703.2,4337.6,60165.2,13017.4,14852.2,10413.4,4238.2,36950.6,44111.6,7517.0,187230.8,12087.8,97807.6,14651.8,34326.6,38637.6
Sunday,17063.75,32783.25,43083.0,3638.25,48515.25,12428.5,13360.25,10053.5,4084.5,30913.25,43334.25,6456.5,170703.75,11106.25,79850.75,11263.25,29873.0,32903.25
Thursday,19894.5,33961.0,43800.0,3483.75,54763.5,7133.25,11855.25,6965.0,3380.25,33345.5,35042.0,6814.5,147829.25,8125.0,73676.5,11683.5,31018.5,30508.25
Tuesday,18942.75,33761.25,41260.0,3303.5,48776.5,7216.25,11928.5,6575.75,3359.75,31414.5,34956.0,6788.5,138464.0,8097.5,69969.75,11392.0,30367.75,29334.5
Wednesday,19468.25,34059.5,42892.75,3331.75,50694.75,7438.0,12200.25,6693.25,3522.75,32405.75,36341.5,6898.25,140978.25,8337.5,72306.25,11673.5,30891.75,29736.25
