,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Zhongxiao Fuxing,0.21156178412612858,0.2341328661905404,0.2658671338094596,0.5027624309392265,0.39455598975879247,0.07175582805551817,0.1932691011992993,0.2426896644657055,0.3150518798005659,0.9359587656650046,0.9957889772267887,1.0,0.44151731572564334,0.5650181916183803,0.4912410726317207,0.649171270718232,0.5755289044603153,0.9354534429322192,0.7723015766069261,0.5916992319094461,0.6634887481471499,0.2418811480932488,0.256501819161838,0.3079099851771998,0.5289381484975071,0.26815793019808654,0.0,0.1757849346449265,0.22540762700444672,0.29271661501145396
Taipei Zoo,0.0,0.06572129806381244,0.0733569675484047,0.07131169893646039,0.47395691300790843,0.4226888464685029,0.07090264521407141,0.05031360785383154,0.22143441505317696,0.21216253067902924,0.252795200436324,1.0,0.6158985546768476,0.15475865830379054,0.21611671666212162,0.10308153804199616,0.2834742296154895,0.3052904281428961,0.9649577311153532,0.5974911371693483,0.25197709299154625,0.24106899372784296,0.062039814562312556,0.04431415325879462,0.13321516225797658,0.16853013362421598,0.5170439050995363,0.19102808835560403,0.20616307608399242,0.07990182710662674
Jiannan Rd. ,0.13748378728923472,0.22645914396887168,0.23009079118028541,0.5491569390402078,0.6313878080415045,0.14656290531776905,0.17068741893644646,0.1543450064850842,0.395071335927367,0.3525291828793775,0.8526588845654994,1.0,0.17380025940337251,0.23112840466926077,0.29935149156939067,0.3756160830090791,0.39662775616083,0.9053177691309986,0.8552529182879378,0.11984435797665371,0.23579766536964986,0.2508430609597925,0.3348897535667965,0.37587548638132295,0.7891050583657586,0.4804150453955902,0.0,0.14837872892347592,0.2962386511024646,0.4946822308690013
Dahu Park ,0.04871395167575998,0.14302416212003122,0.21901792673421672,0.19134840218238502,0.4099766173031958,0.07209664848012465,0.13717848791893994,0.14068589243959484,0.19953234606391268,0.1917381137957912,0.2973499610288386,1.0,0.37373343725643027,0.19524551831644588,0.18550272798129397,0.14419329696024952,0.2182385035074046,0.3499610288386594,0.656664068589244,0.2895557287607171,0.2303195635229931,0.15588464536243185,0.08417770849571315,0.10833982852689017,0.22525331254871395,0.0,0.2611067809820733,0.2544816835541699,0.2139516757599378,0.21005455962587694
Taipei Nangang Exhibition Center,0.3242551995503091,0.3543563799887577,0.37917369308600335,0.6416245081506464,0.3683249016301293,0.2719505340078696,0.5679033164699269,0.3441540191118606,0.3616919617762788,0.40295109612141655,0.5809724564362001,0.31964586846542997,0.14851039910061836,0.32417088251826864,0.3530073074761102,0.3604834176503654,0.38808319280494663,1.0,0.9940415964024734,0.8007307476110175,0.8267847105115234,0.353344575604272,0.349522203485104,0.3503934794828555,0.3843170320404722,0.0,0.00840359752670039,0.3393760539629005,0.3609050028105677,0.3851320966835301
Xiaobitan,0.3889437314906221,0.36623889437314894,0.39289239881540006,0.5399802566633762,0.9328726554787758,0.7847976307996052,0.0,0.21915103652517276,0.2882527147087859,0.5360315893385983,1.0,0.8242843040473842,0.27147087857848007,0.22606120434353416,0.2675222112537021,0.2694965449160911,0.41757156959526176,0.5064165844027642,0.525172754195459,0.20829220138203386,0.17472852912142178,0.2704837117472856,0.40473840078973344,0.7403751233958538,0.71964461994077,0.2635735439289242,0.2606120434353407,0.17571569595261627,0.24975320829220138,0.5093780848963476
Xindian ,0.22357723577235777,0.35598141695702656,0.38966318234610897,0.46138211382113825,0.43583042973286856,0.074622531939605,0.3475609756097562,0.30632984901277593,0.5670731707317072,0.5752032520325203,0.8037166085946574,1.0,0.4953542392566783,0.3644018583042974,0.4590592334494774,0.48548199767711964,0.5815911730545875,0.6591173054587687,0.699767711962834,0.244773519163763,0.38937282229965176,0.48025551684088263,0.3908246225319396,0.4027293844367015,0.6100464576074334,0.0,0.3147502903600463,0.49593495934959364,0.5226480836236935,0.4735772357723578
Taipei Main Station,0.0,0.03989626969878324,0.12111586797403673,0.6588255151989442,0.4223480489189646,0.19538430849023314,0.06879037579217129,0.09062591109269746,0.13911522349583394,0.22460065368503446,0.8448802344673081,0.737421166505547,0.4521628381592475,0.14935015114548333,0.13454249719958877,0.19905169635869813,0.2602617809081005,0.8665930120149152,0.7281376114410225,0.52254906473937,0.18955331522656493,0.13411284506437116,0.1746382482468658,0.30971781061547676,1.0,0.33480642636836544,0.3873620893369547,0.18399852690696505,0.15426046126225668,0.175175313415888
Zhongshan ,0.018429307640600356,0.09533945776383601,0.1787474792740309,0.6126484427515122,0.7166143849428634,0.1996975128837104,0.0,0.09791619986556133,0.24316603181716334,0.29206811561729773,0.806576293972664,0.9561953842706699,0.22865785346179712,0.04626932556576269,0.11925834640376443,0.2631637911718576,0.28024871162894915,0.7590185973560384,0.9999999999999998,0.28282545373067447,0.07965494062289946,0.1453058480842484,0.2782321308536859,0.30467174546269304,0.7696056464261709,0.6649114945104191,0.33643289267308973,0.11634550750616168,0.20591530360743904,0.33816939278512215
Yuanshan,0.18052973977695164,0.2552276951672865,0.43738382899628236,0.787174721189591,0.9233271375464684,0.49907063197026025,0.17576672862453524,0.21328996282527868,0.3640799256505578,0.4019516728624537,0.6777416356877324,0.891728624535316,0.3501394052044611,0.18215613382899631,0.33027416356877337,0.39997676579925656,0.6669377323420074,1.0,0.9743262081784385,0.09665427509293689,0.22374535315985122,0.3851068773234201,0.3066914498141262,0.29646840148698894,0.635803903345725,0.0,0.588870817843866,0.3127323420074348,0.45399628252788116,0.3723280669144984
Jiantan ,0.23572228443449017,0.2555431131019037,0.29910414333706603,0.5992161254199324,0.527547592385218,0.0,0.2623740201567748,0.3572228443449048,0.5685330347144455,0.5820828667413211,1.0,0.9212765957446809,0.3148936170212764,0.39518477043672995,0.4901455767077265,0.48589025755879023,0.6341545352743561,0.8652855543113098,0.9138857782754757,0.18275475923852147,0.40806270996640537,0.5335946248600223,0.4587905935050389,0.41914893617021276,0.619372900335946,0.1192609182530795,0.2741321388577824,0.5262038073908171,0.6340425531914891,0.554087346024636
Xinbeitou,0.0,0.13642960812772142,0.304305757135946,0.3996129656507017,0.9999999999999998,0.6700532172230285,0.06386066763425258,0.246250604741171,0.2878567972907595,0.25302370585389444,0.5820029027576197,0.9351717464925013,0.5853894533139818,0.0672472181906143,0.20851475568456723,0.22883405902273846,0.3057571359458151,0.82196419932269,0.911465892597968,0.7116594097726174,0.14755684567005312,0.2685050798258344,0.36623125302370574,0.4029995162070634,0.6560232220609581,0.5853894533139818,0.521528785679729,0.14320270924044531,0.37010159651669094,0.4499274310595067
Tamsui,0.0,0.12877211238293462,0.23126951092611892,0.29379118973291707,0.2839056538328131,0.3128685397155744,0.17195629552549452,0.09347901491501931,0.3478147762747139,0.3462539021852238,0.5952133194588973,1.0,0.738380159556018,0.43002081165452655,0.318938605619147,0.25346860908775604,0.41510579257717684,0.5970343392299688,0.8922996878251821,0.7682969129379122,0.4221297259798824,0.33194588969823124,0.13050641692681264,0.07917100242802633,0.3026361429066946,0.029569892473118475,0.6121227887617069,0.4856052722858135,0.4152792230315647,0.25225459590704125
Banqiao(Bannan Line),0.173654361365297,0.18374447653178394,0.1903552416408616,0.38004940677081533,0.19143384015865839,0.0,0.16512995372464423,0.20841306843881569,0.256149751226471,0.28134024564211413,0.6577015413520755,0.8896698096795519,0.40819734873525637,0.29971121394523514,0.2956055808774922,0.34021084861347917,0.38224139730698314,0.6504296997320902,1.0000000000000002,0.4639017431543788,0.3284854389200098,0.29898055043317906,0.3133850596708536,0.33186040847569687,0.6297623603910789,0.6033540934553425,0.3333913225009568,0.33286941999234543,0.32458856685571136,0.3401064681117567
Ximen ,0.0,0.08171150027080709,0.10157068062827235,0.49066618523199135,0.6665824155984834,0.23054703014984668,0.038671240296082265,0.07402058133237044,0.1448636938075465,0.1760245531684419,0.6426069687669254,0.9999999999999998,0.3449720166094965,0.10940602996930848,0.12081603177468869,0.17248600830474814,0.1929590178732623,0.5986640187759524,0.9387254016970574,0.38996208701931745,0.07524823975446826,0.09044953962809177,0.1828488896912801,0.1882289221881206,0.5449359090088464,0.5604260696876693,0.19685863874345544,0.1025816934464705,0.15096587831738595,0.2383823794908828
