,Group0_Mean,Group1_Mean,Group2_Mean
1,0.15102713804470347,0.8341751068813107,0.5734019451043418
2,0.20924744547520052,0.8415558597623567,0.6059990085030244
3,0.2645313485887613,0.8287562834340959,0.6097205806062815
4,0.4983230889288636,0.8924961837632581,0.7869565985939524
5,0.5108710261562477,0.25099834337714744,0.376750093052151
6,0.24057879678972,0.017165754199771694,0.0349371859436042
7,0.18446472166344136,0.7844748593676275,0.5429209445791129
8,0.20474787193286925,0.8397489831350808,0.6066878084175248
9,0.311324794298134,0.8625130401074731,0.658648462281012
10,0.37863660613936234,0.868293242664229,0.668624641730766
11,0.7041925774140323,0.9456404178154971,0.8759611057941765
12,0.8792605371904216,0.38960837748610205,0.5643549329285062
13,0.3873286246531754,0.07120953869807828,0.13769813283347557
14,0.24908955063958396,0.787482066663391,0.5586752092846682
15,0.284460315393095,0.850494970526382,0.6380960552234956
16,0.3114791255556121,0.8720798629531497,0.673678347246901
17,0.3895994902618072,0.8663672231713999,0.6844669782463418
18,0.708871863447104,0.9464294281145489,0.8955719369843831
19,0.8161695447809114,0.3377659648663283,0.5596936332099121
20,0.38291859136212003,0.08669587945939783,0.15833775271857803
21,0.3176559422188406,0.8090083966855983,0.5933342943976077
22,0.2730765933286355,0.8513269043873238,0.6275258865741342
23,0.2805706127930284,0.8973941246213653,0.6778694271837791
24,0.3238649497764481,0.9080752860581452,0.7068830364132019
25,0.6039817216696085,0.9777061007654121,0.9381164653467942
26,0.2549551822924915,0.1650340705216066,0.26811829422304767
27,0.27871580089202125,0.03594844485679852,0.09751149801012578
28,0.2736319853201794,0.8245001442143124,0.619893579143132
29,0.3191346685246489,0.8653794277029243,0.6614625044121457
30,0.34369324757418507,0.9051502922957864,0.7352552438305016
