,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Songshan Airport ,0.5335434488968933,0.5146330481764971,0.5871229176046826,0.864475461503827,0.15353444394416926,0.04592525889239085,0.615488518685277,0.4984241332733004,0.5461503827104908,0.6672669968482665,0.7672219720846465,0.25484016208914895,0.17829806393516434,0.7037370553804592,0.594777127420081,0.6213417379558757,0.6533093201260693,0.8995947771274202,0.21927059882935618,0.1967582170193607,0.8460153084196309,0.6226924808644754,0.6461053579468707,0.7604682575416479,1.0000000000000002,0.12922107158937424,0.0,0.6650157586672669,0.6465556055830708,0.6123367852318775
Linguang,0.6012965964343597,0.6320907617504052,0.5113452188006482,0.7512155591572123,0.2576985413290114,0.06807131280388967,0.5388978930307942,0.6596434359805508,0.6110210696920584,0.6361426256077793,0.7803889789303078,0.4570502431118313,0.15559157212317665,0.45461912479740674,0.679092382495948,0.7504051863857373,0.6134521880064829,0.8922204213938412,0.526742301458671,0.0,0.5494327390599674,0.5688816855753647,0.7520259319286873,0.7196110210696918,1.0,0.27309562398703413,0.21231766612641811,0.5162074554294973,0.6418152350081034,0.7795786061588328
Wende ,0.6601212821253248,0.6760034652035807,0.6517470401386083,0.8030609298296276,1.0,0.0,0.3811723938781404,0.6921744152468958,0.6751371643084032,0.7380883626913082,0.8414669361825007,0.3011839445567428,0.11897198960438926,0.6341322552699971,0.6817788045047648,0.7198960438925788,0.7118105688709213,0.8163442102223506,0.2024256425064972,0.12272596015015891,0.6988160554432574,0.6858215420155935,0.7031475599191452,0.7476176725382617,0.8131677736066993,0.13600924054288188,0.02541149292520939,0.6710944267975745,0.6494369044181345,0.7594571181056888
Neihu ,0.6831024930747922,0.8041551246537397,0.7240997229916897,0.8966759002770084,0.45401662049861513,0.0,0.6401662049861498,0.7518005540166206,0.739612188365651,0.7567867036011082,0.9146814404432135,0.5360110803324101,0.049861495844875314,0.6254847645429364,0.6933518005540169,0.7734072022160665,0.772853185595568,0.9376731301939059,0.49279778393351825,0.16426592797783934,0.6930747922437674,0.7091412742382273,0.7634349030470917,0.8096952908587258,1.0000000000000002,0.3692520775623269,0.005817174515235557,0.692520775623269,0.6819944598337953,0.8523545706371192
Wanlong ,0.6384228187919465,0.6557606263982105,0.636744966442953,0.755592841163311,0.3495525727069353,0.0,0.5506152125279642,0.6031879194630871,0.6798098434004474,0.6524049217002239,0.7980984340044741,0.4384787472035794,0.0995525727069353,0.5383109619686803,0.645413870246085,0.6725391498881432,0.6817673378076061,0.8422818791946307,0.31124161073825496,0.12807606263982096,0.5676733780760626,0.6291946308724832,0.7094519015659957,0.7916666666666665,1.0,0.2762863534675617,0.1806487695749439,0.6881991051454137,0.6812080536912752,0.8288590604026846
Gongguan ,0.46129541864139023,0.5793838862559242,0.617430226434966,0.8956029489204846,0.5498946814112693,0.18220115850447627,0.47827804107424976,0.4959189046866772,0.5731964191679833,0.5608214849921014,1.0,0.8375460768825698,0.3407056345444972,0.4382569773565037,0.38020010531858883,0.5871511321748288,0.59189046866772,0.976698262243286,0.9243022643496577,0.3112164296998423,0.4274618220115851,0.5076355976829912,0.6354660347551344,0.6608741442864665,0.8788836229594525,0.0,0.39020537124802557,0.6291469194312795,0.5501579778830963,0.6325697735650344
Taipower Building ,0.6451101321585906,0.7087224669603525,0.6687224669603524,0.8533920704845817,0.4562114537444937,0.0,0.5187665198237887,0.6900440528634362,0.6653744493392071,0.673480176211454,0.9763876651982382,0.5106607929515419,0.06925110132158618,0.5788546255506608,0.6713656387665199,0.7178854625550661,0.7721585903083703,1.0,0.6341850220264318,0.13585903083700446,0.5217621145374451,0.6308370044052865,0.8059911894273131,0.8840528634361235,0.9883700440528638,0.20986784140969172,0.051982378854625644,0.6290748898678413,0.7496035242290748,0.8269603524229074
Shilin ,0.3207721897706224,0.342142755378259,0.4227810229377402,0.4856104858241914,0.21491665479413014,0.0,0.3166405470864795,0.38730588402906396,0.4387377119247755,0.4481407607921355,0.649736429690839,0.519447214702949,0.19596808662202592,0.3261148311725315,0.40988744835446633,0.4248468442798119,0.46808662202592943,0.5785724462174098,0.4806240205157428,0.10015671748112265,0.3264710072659922,0.48325972360735125,0.4465735859809088,0.4254167260293489,0.6372702664197176,0.22752528850263554,0.39927340076934015,0.7974782732582988,0.9999999999999998,0.7169112409175094
Zhishan,0.43516597510373445,0.4815006915629323,0.528786307053942,0.6445366528354082,0.2294260027662518,0.0,0.42168049792531126,0.4742392807745506,0.5653526970954359,0.5626728907330569,0.7090248962655603,0.39237551867219933,0.0803077455048411,0.48158713692946065,0.523167358229599,0.5890387275242048,0.6106500691562933,0.7607192254495159,0.3596991701244814,0.09630013831258655,0.49075034578146615,0.5215248962655603,0.5686376210235133,0.5471991701244814,0.7884681881051177,0.2552731673582298,0.045902489626556076,0.5207468879668051,0.5816044260027664,1.0
Qilian,0.4616559731133516,0.43171402383134727,0.46959975557592415,0.5597311335166515,0.3999388939810571,0.40727161625420094,0.655056523067522,0.6425297891842348,0.9853345554537121,0.9107852123434157,0.9999999999999998,0.8930644668499845,0.4408799266727772,0.6147265505652306,0.7656584173541094,0.6639168958142376,0.7803238619003972,0.822792545065689,0.6465016804155208,0.38374579896119765,0.462878093492209,0.5255117629086465,0.5035135960892145,0.5129850290253588,0.6596394744882372,0.305224564619615,0.0,0.4256034219370608,0.4928200427742133,0.5976168652612281
Beitou,0.5707826086956524,0.7158260869565218,0.7166956521739132,0.8606956521739133,0.31739130434782625,0.0,0.6360000000000001,0.7038260869565218,0.8071304347826089,0.8029565217391306,0.9789565217391307,0.4424347826086956,0.023304347826087035,0.6476521739130434,0.8012173913043479,0.7633043478260872,0.8111304347826089,1.0,0.3248695652173912,0.0,0.6716521739130434,0.8006956521739133,0.6973913043478261,0.6351304347826088,0.988,0.08173913043478276,0.05460869565217408,0.7036521739130435,0.3806956521739133,0.8572173913043479
