day_of_week,Xinbeitou,Banqiao(Circular Line),Jiannan Rd. ,Taipei Nangang Exhibition Center,Nangang ,Jiantan ,Zhongshan ,Xiaobitan,Banqiao(Bannan Line),Dahu Park ,Taipei 101/World Trade Center,Daan Park,Ximen ,Zhongxiao Fuxing,Tamsui,Sanchong ,Yuanshan,Taipei Zoo,Xindian ,Taipei Main Station
Friday,4406.5,7297.0,10331.25,23825.75,18962.5,26908.25,41355.0,4085.25,39271.25,3204.75,26407.5,7280.25,58760.0,43377.0,31865.25,5915.5,25422.0,6216.25,10785.5,137552.0
Monday,3684.4,6244.4,9653.2,26404.4,17017.0,24681.4,34007.2,3433.4,37075.6,3001.4,23390.4,7004.8,48704.2,36670.6,29336.6,5859.4,24240.2,3912.2,10170.6,109720.2
Saturday,4615.5,7110.75,9752.25,16958.25,15692.25,26263.0,41997.25,4621.75,35660.75,3247.5,23478.0,8673.0,63611.25,42036.5,33771.0,5670.0,24942.0,6631.75,10901.25,128474.25
Sunday,3584.75,6175.5,7749.0,12039.25,12454.75,20596.25,31792.75,4205.5,29393.5,2878.75,17592.75,7065.0,47110.5,30896.25,26880.75,4523.25,19881.5,4922.25,9511.0,114164.5
Thursday,3731.75,6611.5,9237.75,23144.0,16987.5,24746.25,35356.5,3670.0,36106.0,2906.5,23383.5,6563.0,49708.0,37852.25,29331.5,5589.0,23476.25,4944.5,10158.5,117396.25
Tuesday,3892.2,6295.6,9948.2,26921.4,17586.6,25845.0,36136.0,3502.8,37726.2,3093.2,24041.8,7274.8,50152.0,39034.2,29228.2,6033.0,25640.0,4523.2,10479.6,112296.6
Wednesday,3914.5,6766.0,10212.5,27048.75,18719.5,26569.5,37939.25,3529.0,39387.5,3223.5,24713.0,7583.0,52204.0,40490.0,30152.75,6107.0,26153.25,4440.75,10749.25,124061.25
