,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Zhongxiao Fuxing,0.38087193460490454,0.34174386920980915,0.0,0.11814713896457762,0.16945504087193441,0.23523160762942763,0.7233787465940054,1.0,0.9886920980926428,0.5185013623978201,0.6572752043596728,0.49019073569482274,0.5817983651226157,0.5281743869209807,0.8416076294277928,0.83283378746594,0.4620708446866484,0.6526975476839236,0.21100817438692077,0.23405994550408704,0.21062670299727504,0.3788828337874659,0.31040871934604897,0.00822888283378731,0.1177111716621253,0.14662125340599452,0.17525885558583099,0.20762942779291538,0.3609536784741143,0.34950953678474095
Taipei Zoo,0.1560109547643781,0.5676645575597318,0.2873736896779677,0.011993578241571434,0.07555009915950506,0.18349230333364808,0.15261120030220032,0.23108886580413635,0.7793937104542449,0.7495514212862405,0.1300406081782982,0.22249504202474268,0.2073850221928416,0.12758522995561428,0.23911606383983375,1.0,0.8405892907734441,0.0,0.07337803380866936,0.04816318821418453,0.1161582774577391,0.0866937387855321,0.5080744168476722,0.6252715081688544,0.04363018226461424,0.16243271319293606,0.1785815468882802,0.10614788931910468,0.20096326376428364,0.5514212862404381
Jiannan Rd. ,0.5160214854602703,0.7519911094647156,0.0,0.004260048157066043,0.09816632709761053,0.23671050194480459,0.2680125949249861,0.4548990553806258,0.6203000555658453,0.16706797555102804,0.18651602148545998,0.22504167438414524,0.22170772365252822,0.21874421189109072,0.6593813669197999,0.7212446749398034,0.23300611224300805,0.04852750509353565,0.17558807186516012,0.26856825338025536,0.2122615299129469,0.45360251898499704,0.809779588812743,0.21207631042785713,0.10909427671791083,0.2087423596962401,0.18910909427671796,0.22448601592887552,0.6049268383033894,0.9999999999999998
Dahu Park ,0.20582793709528202,0.35985198889916736,0.6859389454209064,0.08556891766882502,0.10037002775208137,0.25254394079555964,0.24838112858464378,0.24190564292321914,0.7765957446808509,0.39176688251618863,0.14107308048103606,0.24375578168362622,0.26595744680851063,0.14338575393154485,0.33765032377428295,0.9999999999999998,0.43061979648473625,0.04209065679925983,0.03746530989824226,0.09713228492136894,0.10453283996299723,0.08371877890841795,0.25069380203515257,0.3001850138760407,0.0,0.08603145235892673,0.1535615171137834,0.009250693802035137,0.6165587419056429,0.22895467160036986
Xiaobitan,0.1771812080536912,0.3736017897091721,0.21834451901565988,0.07964205816554792,0.08187919463087234,0.06979865771812066,0.12304250559284102,0.4407158836689038,0.9999999999999998,0.25950782997762856,0.0,0.11454138702460837,0.1033557046979865,0.1507829977628634,0.23266219239373598,0.5865771812080536,0.3082774049217001,0.2380313199105144,0.1319910514541387,0.15033557046979862,0.21118568232662183,0.2232662192393735,0.3870246085011184,0.24161073825503343,0.18836689038031307,0.10022371364653226,0.15570469798657705,0.2662192393736016,0.2854586129753913,0.5020134228187918
Xindian ,0.24465468306527915,1.0,0.1517502365184482,0.013245033112582849,0.0993377483443707,0.181646168401135,0.13755912961210948,0.3122043519394513,0.701608325449385,0.5506149479659412,0.19716177861873208,0.24806054872280026,0.2870387890255439,0.1324503311258276,0.32261116367076603,0.7375591296121096,0.5602649006622515,0.036707663197729445,0.09971617786187315,0.09536423841059571,0.13509933774834426,0.16991485335856193,0.4508987701040681,0.3428571428571425,0.0,0.07473982970671678,0.16348155156102173,0.06130558183538293,0.26584673604541154,0.5282876064333015
Taipei Main Station,0.7084698175011694,0.6878634935490338,0.3022595093254896,0.035079216525168544,0.0,0.04636005080553485,0.15345277090714582,0.8942442676649507,0.8113008890968647,0.5817568019252621,0.1338993248211775,0.06506116719031985,0.10610669162377162,0.22595093254896703,0.9699177752523562,0.9696169530048797,0.8040978675045123,0.17711745437529203,0.09601243398622872,0.13715823250217252,0.2377665619359579,0.9894879336854063,0.8982218062704725,0.7006651514138644,0.17160237983822446,0.07249816164182077,0.11202286249080817,0.24246273146600705,0.9503476168193057,0.9999999999999996
Zhongshan ,0.49725459435230857,0.6531264007171673,0.1629874495741821,0.0,0.08723666517256845,0.18511878081577793,0.20159121470192742,0.5926154190945767,0.8064769161810847,0.21049977588525337,0.12948229493500696,0.11463469296279705,0.21699910354101304,0.2600851636037653,0.6827655759748992,0.819531600179292,0.261990138951143,0.07350963693411039,0.15721649484536115,0.22865307037203086,0.29269385925593916,0.7017032720753029,0.8320259973106232,0.2733079336620352,0.06857911250560322,0.14113626176602434,0.23537651277454064,0.3151053339309726,0.7602532496638279,1.0
Yuanshan,0.307730780222921,0.9999999999999998,0.5947413546727638,0.0,0.07852243498142308,0.12360674478422395,0.1301800514432696,0.3065161474707059,0.9021148899685623,0.45391540440125744,0.10960274364104028,0.22863675335810218,0.22177765075735922,0.3476707630751641,0.5808802515004288,0.7755787367819378,0.34759931408974,0.03322377822234923,0.1173906830523006,0.17847956559016853,0.28065161474707057,0.5110031437553586,0.7164904258359532,0.20741640468705325,0.014004001143183675,0.15918833952557887,0.17469276936267497,0.1606887682194913,0.49871391826236056,0.6589739925693057
Xinbeitou,0.39553463937835176,0.9311590237495896,1.0,0.0840538469957316,0.06304038524679867,0.0756265732735033,0.09740615081536608,0.22403414687534196,0.3519754842946262,0.2350881033161869,0.0,0.07507934770712488,0.09302834628433831,0.13297581262996605,0.18594724745540103,0.3498960271423881,0.2575243515377038,0.0014227864725839812,0.10331618693225342,0.1252052095873919,0.13483637955565275,0.18135055269782197,0.5516033709094889,0.3896246032614644,0.02287402867461963,0.1183101674510233,0.11732516143154204,0.16493378570646822,0.25533544927219,0.3651088978877093
Tamsui,0.25242359209649967,0.6423444090875452,0.24746540368533987,0.08036705394804988,0.0013320506179232972,0.19721749426478175,0.12780285650854717,0.3476652112780285,0.7989343595056608,0.7107230074742836,0.1746466365721897,0.1350551320950193,0.14970768889217778,0.023162880189447232,0.399763191001258,0.9292533116258417,1.0,0.05498408939539701,0.0,0.10782209723969505,0.08073706800858416,0.16606231036779384,0.4847184192999334,0.7515725597572707,0.053652038777473265,0.09331754606675036,0.18508103307925694,0.023458891437874385,0.4322504255161692,0.8195811440834748
Banqiao,0.23511904761904767,0.16203198836786625,0.0,0.09541984732824427,0.10746092330061796,0.11927480916030542,0.1449245728825881,0.2757406397673574,0.28348782260995997,0.09537440930570706,0.14160759723736827,0.1429252998909487,0.1496728462377317,0.18865866957470012,0.5051344965467104,0.7721055979643765,0.4531306797528172,0.23609596510359876,0.2331879316612142,0.25483914940021823,0.27224191203198833,0.43836332242820797,0.8229734641948383,0.42295983278807703,0.21444474736459473,0.2343011632133769,0.2710150854234823,0.2747182842602691,0.5199472918938568,1.0
Longshan Temple,0.391184573002755,0.5941863778854373,0.0,0.16462429942053758,0.16984895981761206,0.2977106488078274,0.2789018713783604,0.45160064595801286,0.5742376745511542,0.2009119407238531,0.3667711598746082,0.2770019948703335,0.26360786548874326,0.28859124156929816,0.561128526645768,1.0,0.5237959532630381,0.44447610905291146,0.2870713403628766,0.2734872233304837,0.33741806782559136,0.4681295715778475,0.6571672841265319,0.21639593426427295,0.23482473639213453,0.47316424432411885,0.46185997910135823,0.4289921155124916,0.5618884772489787,0.8102973306735062
Ximen ,0.41206070287539953,0.7168796592119278,0.22068690095846644,0.0,0.03431842385516504,0.17401490947816822,0.1861821086261981,0.5458998935037274,0.9145633652822149,0.4538072417465391,0.18695420660276896,0.15883919062832796,0.18461128860489895,0.2361288604898828,0.6219116080937166,0.9551118210862621,0.5179712460063897,0.13019169329073477,0.1973375931842385,0.20047923322683703,0.22819488817891376,0.5314430244941426,0.7503194888178912,0.36469648562300305,0.06123535676251346,0.11437699680511182,0.19459531416400422,0.24912140575079866,0.559398296059638,1.0
Taipei 101/World Trade Center,0.5307687698484032,0.2290131224159624,0.0,0.16573791119899317,0.15207621786805658,0.2741326622326081,0.360476960872431,0.719455929055066,0.45562945652825193,0.36227455210018555,0.3724609023907963,0.3050512313499909,0.294625202229013,0.29630295404158424,0.6157349152136138,0.6163341122895318,0.31343999041284665,0.3076876984840313,0.17820121037809322,0.2285936844628198,0.31529750134819334,0.6045299298939419,0.46329917910000584,0.0886811672359038,0.2556773922943254,0.24920606387440825,0.32476481514770206,0.375277128647612,0.8572113368086762,0.9999999999999998
Daan Park,0.23293664683234172,0.6412320616030802,0.5287014350717536,0.005950297514875746,0.046902345117255884,0.12285614280714041,0.06877843892194613,0.2863143157157859,0.8925446272313615,0.6242562128106406,0.03657682884144209,0.12705635281764094,0.16765838291914603,0.08890444522226115,0.33829191459572994,1.0,0.6498074903745188,0.0,0.051627581379068976,0.0861043052152608,0.10308015400770043,0.23171158557927907,0.6956597829891495,0.6524326216310816,0.03255162758137908,0.12338116905845298,0.1403570178508926,0.10745537276863848,0.38011900595029746,0.6984599229961499
mean,0.35275321042331265,0.6032931157143879,0.2750155902450611,0.05900557795261073,0.08534355273961222,0.17345887476578545,0.21266764391678533,0.457806276006243,0.7286159637182943,0.41035111683650105,0.18525427425247482,0.19833914577533446,0.21968988237988873,0.21184716465830988,0.5059065151441309,0.8166026833312762,0.4977615863540311,0.15479774400099822,0.13440676719104,0.16965282823921055,0.20454889858134478,0.38874147435121575,0.5993349452813557,0.3623738931714215,0.09926549639743844,0.15985446473337578,0.2020492383899046,0.2010782916095337,0.5068858086852208,0.7195379882554868
