,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Zhongshan Junior High School,0.9484571428571428,0.32571428571428573,0.007657142857142807,0.7982857142857142,0.8478857142857142,0.8835428571428571,0.8965714285714285,0.9999999999999999,0.39611428571428575,0.07942857142857129,0.8569142857142856,0.8781714285714285,0.8866285714285714,0.8806857142857142,0.9969142857142858,0.38594285714285703,0.11291428571428563,0.8394285714285713,0.896342857142857,0.9364571428571428,0.8818285714285713,0.9899428571428571,0.3084571428571429,0.0,0.7856,0.8602285714285715,0.9370285714285714,0.9012571428571429,0.9645714285714285,0.32971428571428574
Nanjing Fuxing,0.9024012393493415,0.2296023754195714,0.0,0.782436096049574,0.8366899044668215,0.8504389362251483,0.88784533953008,0.9382907306997159,0.2742060418280402,0.03521172217918922,0.817131422669765,0.8471791892589724,0.8401755744900594,0.8708042860831395,0.9620126516911953,0.2936031500129098,0.05631939065324032,0.7954105344694036,0.8559579137619415,0.8775174283501161,0.8900077459333848,1.0,0.30238187451587917,0.041053446940356286,0.813452104311903,0.8563774851536277,0.8773560547379291,0.8970436354247353,0.9756003098373354,0.29976762199845075
Daan,0.9537105069801616,0.26359294636296837,0.0,0.8087190791084987,0.8229243203526818,0.8544575067352437,0.87747979426892,0.9999999999999999,0.3890521675238795,0.07206710751898104,0.798922361009062,0.8686015184913053,0.9180137154053393,0.8811535635562086,0.9824271369091354,0.38078618662747965,0.054800391868723985,0.805718834190546,0.892052412441832,0.9862845946607887,0.9065638011266225,0.9915503306392358,0.3313127602253244,0.05333088415380838,0.8267205486162136,0.8735611070291452,0.8637643889297085,0.9025838843987263,0.9892236100906197,0.32359784472201814
Technology Building,0.8438523201987129,0.3555379925482669,0.0,0.663994580557751,0.772835045726544,0.7687704640397426,0.7873997967709156,0.9136276391554703,0.338828045613639,0.09721124534266679,0.7544315230890821,0.784238455458959,0.8168680140002258,0.8046742689398216,0.883933611832449,0.5281698091904707,0.22501975838319965,0.8019645478152873,0.8143841029694028,0.7186406232358586,0.8586428813367957,0.9319182567460766,0.2970531782770689,0.07892062775206043,0.7703511346957208,0.772270520492266,0.8139324827819803,0.8338037710285651,0.9999999999999998,0.48086259455797675
Liuzhangli,0.8911710606989576,0.29153893316983437,0.0,0.7572041692213365,0.8560698957694666,0.8292458614347027,0.8704782342121398,0.9702636419374617,0.4763948497854078,0.12860208461066835,0.7987431023911711,0.8583690987124464,0.887032495401594,0.842274678111588,0.9999999999999998,0.4773145309625997,0.12722256284488043,0.8310852237890864,0.860668301655426,0.6584917228694052,0.8755364806866952,0.9980073574494173,0.32188841201716745,0.06422440220723491,0.8324647455548742,0.8453402820355609,0.8520846106683015,0.891017780502759,0.9615266707541383,0.3476394849785407
Wanfang Hospital,0.8985108820160367,0.23321878579610533,0.0,0.8777777777777777,0.90446735395189,0.931615120274914,0.918098510882016,0.9864833906071019,0.4423825887743412,0.18808705612829313,0.8136311569301259,0.9153493699885452,0.9603665521191295,0.9288659793814432,0.9999999999999999,0.6515463917525773,0.2691867124856816,0.7550973654066436,0.9176403207331042,0.6965635738831614,0.9139747995418098,0.9424971363115692,0.25887743413516595,0.08877434135166096,0.8650630011454753,0.8939289805269187,0.929324169530355,0.8985108820160367,0.9434135166093928,0.2786941580756014
Wanfang Community,0.9087912087912089,0.3791208791208789,0.0,0.6351648351648349,0.7780219780219781,0.7835164835164836,0.8494505494505493,0.9637362637362636,0.8307692307692307,0.42307692307692313,0.9021978021978023,0.9065934065934067,0.9999999999999998,0.88021978021978,0.9571428571428571,0.6747252747252748,0.4043956043956045,0.8043956043956044,0.7725274725274727,0.567032967032967,0.7912087912087913,0.9109890109890111,0.27142857142857135,0.09780219780219768,0.7186813186813186,0.8406593406593406,0.8318681318681318,0.7263736263736262,0.9582417582417582,0.41428571428571437
Muzha,0.8489583333333333,0.32411858974358965,0.0,0.8866185897435896,0.9010416666666667,0.9182692307692306,0.9138621794871795,0.9515224358974359,0.9010416666666667,0.2279647435897436,0.6045673076923077,0.9150641025641024,0.9467147435897434,0.9014423076923077,0.9879807692307689,0.5340544871794872,0.24399038461538458,0.8333333333333333,0.8862179487179487,0.5921474358974359,0.8417467948717949,0.9142628205128205,0.24959935897435903,0.125,0.861778846153846,0.8926282051282051,0.8858173076923077,0.8737980769230769,0.9999999999999998,0.3076923076923077
Dazhi ,0.9610522022838499,0.15212071778140301,0.043433931484502475,0.8091353996737356,0.8705138662316478,1.0000000000000002,0.9490212071778139,0.9946982055464926,0.47185970636215346,0.06790375203915167,0.8672512234910277,0.9488172920065254,0.9851141924959219,0.9394371941272432,0.9957177814029363,0.28711256117455153,0.06484502446982066,0.8996737357259381,0.9076264274061991,0.890089722675367,0.91231647634584,0.8915171288743882,0.16700652528548132,0.0,0.8790783034257748,0.8978384991843396,0.9225122349102775,0.9039559543230016,0.9571778140293639,0.2516313213703101
Xihu,0.9562480127186008,0.08044515103338634,0.0,0.9102702702702701,0.9523688394276628,0.9647694753577105,0.9548489666136724,0.9710651828298886,0.10689984101748806,0.04406995230524641,0.9385691573926866,0.9498887122416533,0.9643243243243242,0.9548489666136724,0.9799046104928457,0.30785373608903016,0.05856915739268681,0.9330365659777424,0.9731001589825119,0.9785055643879172,0.9829570747217804,1.0,0.05666136724960252,0.026200317965023867,0.9387599364069952,0.9835930047694752,0.9758982511923688,0.9989189189189189,0.9846740858505563,0.08960254372019077
Gangqian ,0.9393313745731756,0.1540538394346065,0.10005558643690937,0.9032001905820694,0.9598189470340664,0.9727626459143969,0.9568013976018422,1.0,0.16890335900897324,0.06305090129436985,0.9409195584848725,0.9789565631700151,0.9811800206463909,0.9806241562772969,0.9803065194949575,0.13547208766775187,0.08020328754069717,0.9287699515603908,0.9637099976177242,0.9825299769713333,0.9693480505042483,0.9188438021122846,0.2024934487413642,0.0,0.9244818549988089,0.9573572619709362,0.9743508298260938,0.954339712538712,0.9925355356150242,0.1273723497180973
Neihu ,0.8934218848829856,0.48766603415559784,0.0,0.5746363061353574,0.7134724857685009,0.7922201138519926,0.7536369386464266,0.9440227703984823,0.6144845034788111,0.13630613535736869,0.6382036685641999,0.7273877292852626,0.8662239089184061,0.7890575585072739,1.0,0.6160657811511703,0.24794433902593305,0.720430107526882,0.7302340290955094,0.6445287792536369,0.7925363693864642,0.9512966476913345,0.45477545857052526,0.1258697027197977,0.6729917773561036,0.6951296647691336,0.7881087919038583,0.7839974699557244,0.9898798228969006,0.597406704617331
Huzhou ,0.8620202020202019,0.2080808080808081,0.0,0.7482828282828282,0.769090909090909,0.8753535353535353,0.8046464646464646,0.8802020202020202,0.28747474747474744,0.1024242424242423,0.8315151515151515,0.7905050505050504,0.8767676767676766,0.8177777777777777,0.9999999999999998,0.37737373737373736,0.18707070707070694,0.8961616161616162,0.8369696969696969,0.8084848484848484,0.8573737373737373,0.875151515151515,0.27636363636363637,0.09353535353535336,0.8234343434343434,0.837171717171717,0.8381818181818181,0.8888888888888888,0.9725252525252526,0.5278787878787878
Donghu ,0.857934857934858,0.786786786786787,0.0,0.5206745206745207,0.7750057750057748,0.756756756756757,0.7659967659967659,0.9443289443289444,0.5220605220605221,0.19149919149919148,0.7821667821667821,0.7971817971817972,0.8214368214368215,0.7683067683067684,1.0,0.49572649572649574,0.2776622776622777,0.7283437283437282,0.8048048048048049,0.7410487410487412,0.8117348117348118,0.9094479094479095,0.343035343035343,0.1000231000231,0.7195657195657197,0.7951027951027951,0.7789327789327789,0.8156618156618158,0.9501039501039501,0.4483714483714485
